82,13,10,2,84,3,25,3,0,3,7,3,21,3,26,5,33,0
0,1,20,2,40,3,7,2,69,2,81,3,0,3,11,102,68,0
0,1,20,2,35,3,6,2,66,2,79,2,98,3,10,103,67,0
0,1,19,2,34,3,5,2,66,2,78,2,97,3,10,104,-14,0
0,1,20,2,34,3,5,2,66,2,78,2,97,3,10,104,-5,0
0,1,20,2,34,3,5,2,66,2,79,2,97,3,10,104,-5,0
0,1,21,2,36,3,6,2,67,2,79,2,98,3,11,103,72,0
2,45,3,10,2,74,2,85,3,4,3,14,102,36,0,0,1,30
2,45,3,10,2,74,2,86,3,4,3,15,102,27,0,0,1,31
2,45,3,10,2,74,2,85,3,3,3,14,102,27,0,0,1,31
2,42,3,9,2,72,2,84,3,2,3,13,102,58,0,0,1,29
2,39,3,8,2,70,2,82,3,0,3,12,103,3,0,0,1,27
2,38,3,7,2,69,2,81,3,0,3,11,103,26,0,0,1,26
2,36,3,6,2,67,2,79,2,98,3,10,103,62,0,0,1,24
2,32,3,4,2,64,2,77,2,96,3,9,104,26,0,0,1,22
2,32,3,4,2,64,2,77,2,96,3,9,104,28,0,0,1,21
2,34,3,5,2,65,2,78,2,97,3,10,104,-4,0,0,1,23
2,36,3,6,2,67,2,79,2,98,3,10,103,73,0,0,1,24
2,37,3,7,2,68,2,80,2,99,3,11,103,54,0,0,1,25
2,40,3,8,2,70,2,82,3,0,3,13,103,15,0,0,1,28
2,41,3,8,2,71,2,83,3,1,3,13,103,-12,0,0,1,29
2,39,3,7,2,69,2,81,3,0,3,11,103,20,0,0,1,26
2,38,3,7,2,68,2,81,2,99,3,11,103,32,0,0,1,25
2,36,3,6,2,67,2,80,2,98,3,10,103,59,0,0,1,24
2,32,3,3,2,64,2,77,2,96,3,8,104,15,0,0,1,21
2,29,3,2,2,62,2,75,2,95,3,8,104,60,0,0,1,19
2,29,3,2,2,61,2,75,2,94,3,7,104,78,0,0,1,18
2,28,3,2,2,61,2,74,2,94,3,7,104,81,0,0,1,18
2,38,3,7,2,68,2,81,3,0,3,12,103,38,0,0,1,26
2,41,3,9,2,71,2,82,3,1,3,13,103,-4,0,0,1,28
2,42,3,9,2,71,2,84,3,2,3,13,102,74,0,0,1,30
2,43,3,10,2,72,2,85,3,3,3,14,102,58,0,0,1,30
2,45,3,10,2,73,2,86,3,4,3,14,102,35,0,0,1,31
2,46,3,11,2,74,2,86,3,4,3,15,102,19,0,0,1,32
2,46,3,11,2,74,2,86,3,4,3,15,102,9,0,0,1,33
2,32,3,4,2,64,2,77,2,96,3,8,104,15,0,0,1,21
2,29,3,2,2,62,2,75,2,95,3,7,104,63,0,0,1,19
2,29,3,2,2,61,2,75,2,94,3,7,104,78,0,0,1,18
2,28,3,2,2,61,2,74,2,94,3,7,104,82,0,0,1,18
2,27,3,1,2,60,2,73,2,93,3,6,105,7,0,0,1,17
2,28,3,2,2,61,2,75,2,94,3,7,105,-8,0,0,1,18
2,30,3,3,2,63,2,76,2,95,3,8,104,63,0,0,1,20
2,40,3,9,2,70,2,82,3,1,3,12,103,2,0,0,1,28
